Population,Replicate,Treatment,num_viable,total_pollen,viable_per,Elevation,Latitude,Longitude,Ann_Peren,Species,Updated_species
ANR,1,0,85,100,0.85,410.87,39.73686667,-123.63105,A/P,gutattus,gutattus
ANR,2,0,98,100,0.98,410.87,39.73686667,-123.63105,A/P,gutattus,gutattus
ANR,3,0,88,100,0.88,410.87,39.73686667,-123.63105,A/P,gutattus,gutattus
ANR,4,0,100,100,1,410.87,39.73686667,-123.63105,A/P,gutattus,gutattus
ANR,1,1,35,69,0.507246377,410.87,39.73686667,-123.63105,A/P,gutattus,gutattus
ANR,2,1,31,57,0.543859649,410.87,39.73686667,-123.63105,A/P,gutattus,gutattus
ANR,3,1,8,100,0.08,410.87,39.73686667,-123.63105,A/P,gutattus,gutattus
ANR,4,1,1,7,0.142857143,410.87,39.73686667,-123.63105,A/P,gutattus,gutattus
BAG,1,0,96,100,0.96,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BAG,2,0,64,100,0.64,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BAG,3,0,59,64,0.921875,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BAG,4,0,90,100,0.9,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BAG,5,0,90,100,0.9,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BAG,1,1,0,25,0,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BAG,2,1,6,100,0.06,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BAG,3,1,,,NA,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BAG,4,1,0,10,0,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BAG,5,1,0,4,0,1278.63,48.872683,-121.687583,,tilingii,caespitosa
BCE,1,0,97,100,0.97,2893,38.857166,-106.932365,,tilingii,minor
BCE,2,0,96,100,0.96,2893,38.857166,-106.932365,,tilingii,minor
BCE,3,0,100,100,1,2893,38.857166,-106.932365,,tilingii,minor
BCE,4,0,97,100,0.97,2893,38.857166,-106.932365,,tilingii,minor
BCE,5,0,91,100,0.91,2893,38.857166,-106.932365,,tilingii,minor
BCE,1,1,3,43,0.069767442,2893,38.857166,-106.932365,,tilingii,minor
BCE,2,1,6,100,0.06,2893,38.857166,-106.932365,,tilingii,minor
BCE,3,1,0,69,0,2893,38.857166,-106.932365,,tilingii,minor
BCE,4,1,0,8,0,2893,38.857166,-106.932365,,tilingii,minor
BCE,5,1,9,100,0.09,2893,38.857166,-106.932365,,tilingii,minor
BLV,1,0,98,100,0.98,3311,39.00976,-107.02961,,gutattus,gutattus
BLV,2,0,94,100,0.94,3311,39.00976,-107.02961,,gutattus,gutattus
BLV,3,0,97,100,0.97,3311,39.00976,-107.02961,,gutattus,gutattus
BLV,4,0,97,100,0.97,3311,39.00976,-107.02961,,gutattus,gutattus
BLV,5,0,98,100,0.98,3311,39.00976,-107.02961,,gutattus,gutattus
BLV,1,1,4,33,0.121212121,3311,39.00976,-107.02961,,gutattus,gutattus
BLV,2,1,1,4,0.25,3311,39.00976,-107.02961,,gutattus,gutattus
BLV,3,1,0,5,0,3311,39.00976,-107.02961,,gutattus,gutattus
BLV,4,1,,,NA,3311,39.00976,-107.02961,,gutattus,gutattus
BLV,5,1,0,4,0,3311,39.00976,-107.02961,,gutattus,gutattus
CCK,1,0,96,100,0.96,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,2,0,98,100,0.98,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,3,0,52,54,0.962962963,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,4,0,56,100,0.56,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,5,0,99,100,0.99,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,6,0,98,100,0.98,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,1,1,0,100,0,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,2,1,2,2,1,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,3,1,3,3,1,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,4,1,0,0,NA,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,5,1,0,43,0,2864,38.86184,-107.04627,,gutattus,gutattus
CCK,6,1,0,100,0,2864,38.86184,-107.04627,,gutattus,gutattus
CFC,1,0,96,100,0.96,2775,38.856008,-107.168175,,gutattus,gutattus
CFC,2,0,96,100,0.96,2775,38.856008,-107.168175,,gutattus,gutattus
CFC,3,0,97,100,0.97,2775,38.856008,-107.168175,,gutattus,gutattus
CFC,4,0,90,100,0.9,2775,38.856008,-107.168175,,gutattus,gutattus
CFC,5,0,94,100,0.94,2775,38.856008,-107.168175,,gutattus,gutattus
CFC,1,1,0,5,0,2775,38.856008,-107.168175,,gutattus,gutattus
CFC,2,1,5,11,0.454545455,2775,38.856008,-107.168175,,gutattus,gutattus
CFC,3,1,6,20,0.3,2775,38.856008,-107.168175,,gutattus,gutattus
CFC,4,1,0,9,0,2775,38.856008,-107.168175,,gutattus,gutattus
CFC,5,1,7,28,0.25,2775,38.856008,-107.168175,,gutattus,gutattus
CPP,1,0,97,100,0.97,1000,37.978194,-120.638833,,gutattus,gutattus
CPP,2,0,39,79,0.493670886,1000,37.978194,-120.638833,,gutattus,gutattus
CPP,3,0,86,100,0.86,1000,37.978194,-120.638833,,gutattus,gutattus
CPP,4,0,0,0,NA,1000,37.978194,-120.638833,,gutattus,gutattus
CPP,5,0,94,100,0.94,1000,37.978194,-120.638833,,gutattus,gutattus
CPP,1,1,2,7,0.285714286,1000,37.978194,-120.638833,,gutattus,gutattus
CPP,2,1,52,97,0.536082474,1000,37.978194,-120.638833,,gutattus,gutattus
CPP,3,1,3,4,0.75,1000,37.978194,-120.638833,,gutattus,gutattus
CPP,4,1,2,9,0.222222222,1000,37.978194,-120.638833,,gutattus,gutattus
CPP,5,1,14,100,0.14,1000,37.978194,-120.638833,,gutattus,gutattus
CWC,1,0,66,66,1,2783.5,37.590733,-118.99104,,tilingii,tilingii
CWC,2,0,,,NA,2783.5,37.590733,-118.99104,,tilingii,tilingii
CWC,1,1,,,NA,2783.5,37.590733,-118.99104,,tilingii,tilingii
CWC,2,1,,,NA,2783.5,37.590733,-118.99104,,tilingii,tilingii
DLW,1,0,88,100,0.88,1249,37.06770746,-118.2638616,P,gutattus,gutattus
DLW,2,0,,,NA,1249,37.06770746,-118.2638616,P,gutattus,gutattus
DLW,3,0,,,NA,1249,37.06770746,-118.2638616,P,gutattus,gutattus
DLW,1,1,15,27,0.555555556,1249,37.06770746,-118.2638616,P,gutattus,gutattus
DLW,2,1,69,100,0.69,1249,37.06770746,-118.2638616,P,gutattus,gutattus
DLW,3,1,,,NA,1249,37.06770746,-118.2638616,P,gutattus,gutattus
DWF,1,0,99,100,0.99,10,36.320614,-117.521642,P?,gutattus,gutattus
DWF,2,0,98,100,0.98,10,36.320614,-117.521642,P?,gutattus,gutattus
DWF,3,0,99,100,0.99,10,36.320614,-117.521642,P?,gutattus,gutattus
DWF,4,0,91,100,0.91,10,36.320614,-117.521642,P?,gutattus,gutattus
DWF,5,0,,,NA,10,36.320614,-117.521642,P?,gutattus,gutattus
DWF,1,1,73,100,0.73,10,36.320614,-117.521642,P?,gutattus,gutattus
DWF,2,1,83,100,0.83,10,36.320614,-117.521642,P?,gutattus,gutattus
DWF,3,1,97,100,0.97,10,36.320614,-117.521642,P?,gutattus,gutattus
DWF,4,1,81,100,0.81,10,36.320614,-117.521642,P?,gutattus,gutattus
DWF,5,1,57,61,0.93442623,10,36.320614,-117.521642,P?,gutattus,gutattus
GCR,1,0,99,100,0.99,1402.08,39.493006,-106.840435,,gutattus,gutattus
GCR,2,0,94,100,0.94,1402.08,39.493006,-106.840435,,gutattus,gutattus
GCR,3,0,98,100,0.98,1402.08,39.493006,-106.840435,,gutattus,gutattus
GCR,4,0,,,NA,1402.08,39.493006,-106.840435,,gutattus,gutattus
GCR,5,0,94,100,0.94,1402.08,39.493006,-106.840435,,gutattus,gutattus
GCR,1,1,54,100,0.54,1402.08,39.493006,-106.840435,,gutattus,gutattus
GCR,2,1,47,100,0.47,1402.08,39.493006,-106.840435,,gutattus,gutattus
GCR,3,1,,,NA,1402.08,39.493006,-106.840435,,gutattus,gutattus
GCR,4,1,84,100,0.84,1402.08,39.493006,-106.840435,,gutattus,gutattus
GCR,5,1,5,82,0.06097561,1402.08,39.493006,-106.840435,,gutattus,gutattus
GJR,1,0,98,100,0.98,2781.5,39.480002,-106.788239,,gutattus,gutattus
GJR,2,0,99,100,0.99,2781.5,39.480002,-106.788239,,gutattus,gutattus
GJR,3,0,94,100,0.94,2781.5,39.480002,-106.788239,,gutattus,gutattus
GJR,4,0,98,100,0.98,2781.5,39.480002,-106.788239,,gutattus,gutattus
GJR,5,0,23,24,0.958333333,2781.5,39.480002,-106.788239,,gutattus,gutattus
GJR,1,1,0,10,0,2781.5,39.480002,-106.788239,,gutattus,gutattus
GJR,2,1,0,100,0,2781.5,39.480002,-106.788239,,gutattus,gutattus
GJR,3,1,29,100,0.29,2781.5,39.480002,-106.788239,,gutattus,gutattus
GJR,4,1,0,1,0,2781.5,39.480002,-106.788239,,gutattus,gutattus
GJR,5,1,0,66,0,2781.5,39.480002,-106.788239,,gutattus,gutattus
LLP,1,0,42,51,0.823529412,115,35.265,-120.682778,A,gutattus,gutattus
LLP,2,0,97,100,0.97,115,35.265,-120.682778,A,gutattus,gutattus
LLP,3,0,99,100,0.99,115,35.265,-120.682778,A,gutattus,gutattus
LLP,4,0,97,100,0.97,115,35.265,-120.682778,A,gutattus,gutattus
LLP,5,0,99,100,0.99,115,35.265,-120.682778,A,gutattus,gutattus
LLP,1,1,0,100,0,115,35.265,-120.682778,A,gutattus,gutattus
LLP,2,1,0,100,0,115,35.265,-120.682778,A,gutattus,gutattus
LLP,3,1,0,100,0,115,35.265,-120.682778,A,gutattus,gutattus
LLP,4,1,0,0,NA,115,35.265,-120.682778,A,gutattus,gutattus
LLP,5,1,0,100,0,115,35.265,-120.682778,A,gutattus,gutattus
MBA,1,0,100,100,1,3091,39.00292,-107.02911,,gutattus,gutattus
MBA,2,0,98,100,0.98,3091,39.00292,-107.02911,,gutattus,gutattus
MBA,3,0,99,100,0.99,3091,39.00292,-107.02911,,gutattus,gutattus
MBA,4,0,100,100,1,3091,39.00292,-107.02911,,gutattus,gutattus
MBA,5,0,100,100,1,3091,39.00292,-107.02911,,gutattus,gutattus
MBA,1,1,,,NA,3091,39.00292,-107.02911,,gutattus,gutattus
MBA,2,1,0,100,0,3091,39.00292,-107.02911,,gutattus,gutattus
MBA,3,1,0,100,0,3091,39.00292,-107.02911,,gutattus,gutattus
MBA,4,1,,,NA,3091,39.00292,-107.02911,,gutattus,gutattus
MBA,5,1,0,7,0,3091,39.00292,-107.02911,,gutattus,gutattus
NOC,1,0,93,100,0.93,1462.2,36.84194,-118.261097,,gutattus,gutattus
NOC,2,0,97,100,0.97,1462.2,36.84194,-118.261097,,gutattus,gutattus
NOC,3,0,,,NA,1462.2,36.84194,-118.261097,,gutattus,gutattus
NOC,1,1,51,100,0.51,1462.2,36.84194,-118.261097,,gutattus,gutattus
NOC,2,1,55,100,0.55,1462.2,36.84194,-118.261097,,gutattus,gutattus
NOC,3,1,,,NA,1462.2,36.84194,-118.261097,,gutattus,gutattus
NOL,1,0,94,100,0.94,2981,37.228528,-118.636716,,gutattus,gutattus
NOL,2,0,,,NA,2981,37.228528,-118.636716,,gutattus,gutattus
NOL,3,0,,,NA,2981,37.228528,-118.636716,,gutattus,gutattus
NOL,4,0,80,100,0.8,2981,37.228528,-118.636716,,gutattus,gutattus
NOL,5,0,99,100,0.99,2981,37.228528,-118.636716,,gutattus,gutattus
NOL,1,1,0,3,0,2981,37.228528,-118.636716,,gutattus,gutattus
NOL,2,1,3,4,0.75,2981,37.228528,-118.636716,,gutattus,gutattus
NOL,3,1,12,100,0.12,2981,37.228528,-118.636716,,gutattus,gutattus
NOL,4,1,,,NA,2981,37.228528,-118.636716,,gutattus,gutattus
NOL,5,1,1,100,0.01,2981,37.228528,-118.636716,,gutattus,gutattus
NOR,1,0,100,100,1,3352,39.0246,-107.0685,,tilingii,minor
NOR,2,0,100,100,1,3352,39.0246,-107.0685,,tilingii,minor
NOR,3,0,100,100,1,3352,39.0246,-107.0685,,tilingii,minor
NOR,1,1,0,91,0,3352,39.0246,-107.0685,,tilingii,minor
NOR,2,1,0,100,0,3352,39.0246,-107.0685,,tilingii,minor
NOR,3,1,0,3,0,3352,39.0246,-107.0685,,tilingii,minor
NPB,1,0,6,10,0.6,3352,39.0246,-107.0685,,tilingii,minor
NPB,1,1,2,48,0.041666667,3352,39.0246,-107.0685,,tilingii,minor
OBJ,1,0,98,100,0.98,2739,38.912505,-107.032161,,tilingii,minor
OBJ,2,0,95,100,0.95,2739,38.912505,-107.032161,,tilingii,minor
OBJ,3,0,98,100,0.98,2739,38.912505,-107.032161,,tilingii,minor
