Population,Replicate,Treatment,Species,Group,Tray,Position,Elevation,Latitude,Longitude,germ_date,transplant date,first_flower,flowering_time,hgt_first_flower,flowers_10days,time pollen collection,# flowers for pollen,successful_self,total_self,viable_pollen,total_pollen,Notes
ANR,1,C,guttatus,low,4,17,410.87,39.73686667,-123.63105,13-Jun,21-Jun,26-Jul,43,284.1,20,,2,5,5,94,100,
ANR,2,C,guttatus,low,7,11,410.87,39.73686667,-123.63105,13-Jun,21-Jun,30-Jul,47,368.2,10,,2,5,5,92,100,
ANR,3,C,guttatus,low,4,3,410.87,39.73686667,-123.63105,15-Jun,21-Jun,24-Aug,70,154.5,,,2,5,5,84,100,
ANR,4,C,guttatus,low,3,1,410.87,39.73686667,-123.63105,14-Jun,21-Jun,,,,,,,,,,,
ANR,5,C,guttatus,low,8,17,410.87,39.73686667,-123.63105,14-Jun,21-Jun,27-Jul,43,238.2,10,,,5,5,96,100,
ANR,6,C,guttatus,low,7,16,410.87,39.73686667,-123.63105,14-Jun,21-Jun,11-Aug,58,320.2,9,,,,,96,100,
ANR,7,C,guttatus,low,6,6,410.87,39.73686667,-123.63105,14-Jun,21-Jun,22-Jul,38,315.4,18,,,5,5,96,100,
ANR,8,C,guttatus,low,8,6,410.87,39.73686667,-123.63105,14-Jun,21-Jun,,,,,,,,,,,
ANR,9,C,guttatus,low,6,7,410.87,39.73686667,-123.63105,14-Jun,21-Jun,26-Jul,42,184.1,20,,,4,5,81,100,
ANR,1,H,guttatus,low,10,3,410.87,39.73686667,-123.63105,14-Jun,21-Jun,11-Aug,58,271.3,17,,2,5,5,95,100,
ANR,2,H,guttatus,low,16,10,410.87,39.73686667,-123.63105,14-Jun,21-Jun,28-Jul,44,262,12,,2,4,5,96,100,
ANR,3,H,guttatus,low,15,11,410.87,39.73686667,-123.63105,14-Jun,21-Jun,31-Jul,47,274.8,14,,2,5,5,91,100,
ANR,4,H,guttatus,low,15,7,410.87,39.73686667,-123.63105,14-Jun,21-Jun,22-Jul,38,355.2,27,,2,1,5,91,100,
ANR,5,H,guttatus,low,10,10,410.87,39.73686667,-123.63105,15-Jun,21-Jun,,,,,,,,,,,
ANR,6,H,guttatus,low,9,12,410.87,39.73686667,-123.63105,15-Jun,21-Jun,,,,,,,,,,,
ANR,7,H,guttatus,low,16,1,410.87,39.73686667,-123.63105,15-Jun,21-Jun,25-Jul,40,181.3,25,,2,2,5,68,82,
ANR,8,H,guttatus,low,15,9,410.87,39.73686667,-123.63105,15-Jun,21-Jun,,,,,,,,,,,
ANR,9,H,guttatus,low,12,3,410.87,39.73686667,-123.63105,15-Jun,21-Jun,28-Jul,43,237.9,18,,,,,,,
BAG,1,C,caespitosa,tilingii,2,5,1278.63,48.872683,-121.687583,14-Jun,21-Jun,,,,,,2,5,5,98,100,
BAG,2,C,caespitosa,tilingii,6,8,1278.63,48.872683,-121.687583,14-Jun,21-Jun,,,,,,,,,,,
BAG,3,C,caespitosa,tilingii,8,2,1278.63,48.872683,-121.687583,14-Jun,21-Jun,,,,,,,,,,,
BAG,4,C,caespitosa,tilingii,8,12,1278.63,48.872683,-121.687583,14-Jun,21-Jun,,,,,,,,,,,
BAG,5,C,caespitosa,tilingii,8,4,1278.63,48.872683,-121.687583,14-Jun,21-Jun,,,,,,,,,,,
BAG,6,C,caespitosa,tilingii,1,11,1278.63,48.872683,-121.687583,15-Jun,21-Jun,24-Jul,39,42.5,,,,,,,,
BAG,7,C,caespitosa,tilingii,1,1,1278.63,48.872683,-121.687583,15-Jun,21-Jun,3-Aug,49,41.8,1,,2,,,91,100,
BAG,8,C,caespitosa,tilingii,2,11,1278.63,48.872683,-121.687583,,3-Jul,,,,,,,,,,,
BAG,9,C,caespitosa,tilingii,2,4,1278.63,48.872683,-121.687583,15-Jun,21-Jun,,,,,,,,,,,
BAG,1,H,caespitosa,tilingii,12,17,1278.63,48.872683,-121.687583,16-Jun,21-Jun,28-Jul,42,51.3,1,,,,,,,
BAG,2,H,caespitosa,tilingii,12,15,1278.63,48.872683,-121.687583,16-Jun,21-Jun,,,,,,,,,,,
BAG,3,H,caespitosa,tilingii,14,12,1278.63,48.872683,-121.687583,,3-Jul,,,,,,,,,,,
BAG,4,H,caespitosa,tilingii,12,13,1278.63,48.872683,-121.687583,16-Jun,21-Jun,31-Aug,,21.6,2,,1,,,1,2,
BAG,5,H,caespitosa,tilingii,14,8,1278.63,48.872683,-121.687583,16-Jun,21-Jun,,,,,,,,,,,
BAG,6,H,caespitosa,tilingii,15,2,1278.63,48.872683,-121.687583,16-Jun,21-Jun,,,,,,,,,,,
BAG,7,H,caespitosa,tilingii,9,1,1278.63,48.872683,-121.687583,16-Jun,21-Jun,,,,,,,,,,,
BAG,8,H,caespitosa,tilingii,14,11,1278.63,48.872683,-121.687583,16-Jun,21-Jun,,,,,,,,,,,
BAG,9,H,caespitosa,tilingii,13,5,1278.63,48.872683,-121.687583,16-Jun,21-Jun,,,,,,,,,,,
CFC,1,C,guttatus,high,2,8,2775,38.856008,-107.168175,14-Jun,16-Jun,11-Jul,27,106.8,18,,2,5,5,97,100,
CFC,2,C,guttatus,high,1,10,2775,38.856008,-107.168175,,3-Jul,9-Jul,,93.7,38,,2,5,5,97,100,
CFC,3,C,guttatus,high,7,10,2775,38.856008,-107.168175,14-Jun,16-Jun,11-Jul,27,99.9,13,,2,5,5,99,100,
CFC,4,C,guttatus,high,5,6,2775,38.856008,-107.168175,14-Jun,16-Jun,11-Jul,27,93.4,29,,2,5,5,100,100,
CFC,5,C,guttatus,high,8,3,2775,38.856008,-107.168175,,7-Jul,25-Jul,,135.2,20,,2,5,5,92,100,
CFC,6,C,guttatus,high,1,8,2775,38.856008,-107.168175,14-Jun,16-Jun,10-Jul,26,107.6,57,,2,5,5,96,100,
CFC,7,C,guttatus,high,4,10,2775,38.856008,-107.168175,14-Jun,16-Jun,10-Jul,26,78.8,21,,2,5,5,95,100,
CFC,8,C,guttatus,high,5,7,2775,38.856008,-107.168175,14-Jun,16-Jun,11-Jul,27,105.6,16,,2,5,5,97,100,
CFC,9,C,guttatus,high,5,10,2775,38.856008,-107.168175,14-Jun,16-Jun,11-Jul,27,59,15,,2,5,5,96,100,
CFC,1,H,guttatus,high,15,17,2775,38.856008,-107.168175,14-Jun,16-Jun,11-Jul,27,48,25,,2,5,5,85,100,
CFC,2,H,guttatus,high,15,6,2775,38.856008,-107.168175,14-Jun,16-Jun,13-Jul,29,111.5,19,,2,4,5,92,100,
CFC,3,H,guttatus,high,13,17,2775,38.856008,-107.168175,14-Jun,16-Jun,14-Jul,30,93,12,,2,3,5,96,100,
CFC,4,H,guttatus,high,13,8,2775,38.856008,-107.168175,14-Jun,16-Jun,12-Jul,28,125.9,26,,2,3,5,90,100,
CFC,5,H,guttatus,high,10,5,2775,38.856008,-107.168175,14-Jun,16-Jun,13-Jul,29,67.8,11,,2,4,5,88,100,
CFC,6,H,guttatus,high,14,6,2775,38.856008,-107.168175,14-Jun,16-Jun,12-Jul,28,85.2,28,,2,4,5,89,100,
CFC,7,H,guttatus,high,15,15,2775,38.856008,-107.168175,14-Jun,16-Jun,24-Jul,40,153.2,26,,2,3,5,50,100,
CFC,8,H,guttatus,high,14,5,2775,38.856008,-107.168175,14-Jun,16-Jun,19-Jul,35,101.5,11,,2,5,5,87,100,
CFC,9,H,guttatus,high,13,11,2775,38.856008,-107.168175,14-Jun,16-Jun,13-Jul,29,112.4,16,,2,5,5,93,100,
CWC,1,C,tilingii,tilingii,2,14,2783.5,37.590733,-118.99104,13-Jun,21-Jun,,,,,,,,,,,
CWC,2,C,tilingii,tilingii,4,1,2783.5,37.590733,-118.99104,14-Jun,21-Jun,31-Jul,47,54.2,4,,2,5,5,99,100,
CWC,3,C,tilingii,tilingii,2,2,2783.5,37.590733,-118.99104,14-Jun,21-Jun,,,,,,,,,,,
CWC,4,C,tilingii,tilingii,1,17,2783.5,37.590733,-118.99104,14-Jun,21-Jun,10-Aug,57,95.6,4,,2,5,5,86,100,
CWC,5,C,tilingii,tilingii,5,9,2783.5,37.590733,-118.99104,14-Jun,21-Jun,3-Aug,50,55,2,,2,,,56,75,
CWC,6,C,tilingii,tilingii,3,13,2783.5,37.590733,-118.99104,14-Jun,21-Jun,,,,,,,,,,,
CWC,7,C,tilingii,tilingii,7,3,2783.5,37.590733,-118.99104,17-Jun,21-Jun,25-Jul,38,45.2,6,,2,5,5,81,100,
CWC,8,C,tilingii,tilingii,2,6,2783.5,37.590733,-118.99104,17-Jun,21-Jun,,,,,,,,,,,
CWC,9,C,tilingii,tilingii,4,13,2783.5,37.590733,-118.99104,17-Jun,21-Jun,25-Jul,38,42.3,3,,,,,,,
CWC,1,H,tilingii,tilingii,9,3,2783.5,37.590733,-118.99104,17-Jun,21-Jun,,,,,,,,,,,
CWC,2,H,tilingii,tilingii,15,4,2783.5,37.590733,-118.99104,18-Jun,21-Jun,,,,,,,,,,,
CWC,3,H,tilingii,tilingii,14,9,2783.5,37.590733,-118.99104,18-Jun,21-Jun,,,,,,,,,,,
CWC,4,H,tilingii,tilingii,12,2,2783.5,37.590733,-118.99104,13-Jun,21-Jun,31-Jul,48,66.2,1,,,,,,,
CWC,5,H,tilingii,tilingii,9,11,2783.5,37.590733,-118.99104,13-Jun,21-Jun,28-Jul,45,48.1,1,,,,,,,
CWC,6,H,tilingii,tilingii,13,9,2783.5,37.590733,-118.99104,18-Jun,21-Jun,,,,,,,,,,,
CWC,7,H,tilingii,tilingii,13,6,2783.5,37.590733,-118.99104,18-Jun,21-Jun,,,,,,,,,,,
CWC,8,H,tilingii,tilingii,10,13,2783.5,37.590733,-118.99104,14-Jun,21-Jun,26-Jul,44,51.8,1,,,,,,,
CWC,9,H,tilingii,tilingii,14,3,2783.5,37.590733,-118.99104,14-Jun,21-Jun,26-Jul,44,74.8,1,,,,,,,
DWF,1,C,guttatus,low,1,13,10,36.320614,-117.521642,13-Jun,16-Jun,24-Jul,43,309.7,37,,2,5,5,99,100,
