Label	Pop	Family	Treatment	Block	Number	Latitude	Longitude	Elevation	Elevation_Cat	Low_Side	Treat_Block_Number	Flowered	Viable.Pollen	Inviable.Pollen	Total.Pollen	Prop.Viable
NLC_C_1_1	NLC	NLC_1	C	1	1	37.22731	-118.6276	3282	High	NA	C_1_1	1	302	18	320	0.94375
SAW_C_1_2	SAW	SAW_26	C	1	2	37.2033	-119.4137	1207.62	Low	W	C_1_2	1	29	149	178	0.162921348
ART_C_1_3	ART	ART_1	C	1	3	37.35488	-118.3326	1594	Low	E	C_1_3	1	615	50	665	0.92481203
HME_C_1_4	HME	HME_1_G1	C	1	4	36.460418	-118.161644	3048	High	NA	C_1_4	1	68	25	93	0.731182796
NLC_C_1_5	NLC	NLC_1	C	1	5	37.22731	-118.6276	3282	High	NA	C_1_5	1	508	266	774	0.656330749
ART_C_1_6	ART	ART_1	C	1	6	37.35488	-118.3326	1594	Low	E	C_1_6	1	820	23	843	0.972716489
JMS_C_1_7	JMS	JMS_2	C	1	7	37.7653915	-119.0947999	2651	High	NA	C_1_7	1	152	28	180	0.844444444
HME_C_1_8	HME	HME_1_G1	C	1	8	36.460418	-118.161644	3048	High	NA	C_1_8	1	813	51	864	0.940972222
WFC_C_1_9	WFC	WFC_5	C	1	9	37.33766	-119.26629	1551.7368	Low	W	C_1_9	1	508	21	529	0.960302457
HME_C_2_10	HME	HME_1_G1	C	2	10	36.460418	-118.161644	3048	High	NA	C_2_10	1	264	22	286	0.923076923
JMS_C_2_11	JMS	JMS_2	C	2	11	37.7653915	-119.0947999	2651	High	NA	C_2_11	1	352	2	354	0.994350282
DWF_C_2_12	DWF	DWF_6	C	2	12	36.320614	-117.521642	24	Low	E	C_2_12	1	402	87	489	0.82208589
NLC_C_2_13	NLC	NLC_1	C	2	13	37.22731	-118.6276	3282	High	NA	C_2_13	1	567	102	669	0.847533632
DLW_C_2_14	DLW	DLW_55	C	2	14	37.06770746	-118.2638616	1249	Low	E	C_2_14	1	581	73	654	0.888379205
DLW_C_2_15	DLW	DLW_55	C	2	15	37.06770746	-118.2638616	1249	Low	E	C_2_15	1	620	10	630	0.984126984
JMS_C_2_16	JMS	JMS_2	C	2	16	37.7653915	-119.0947999	2651	High	NA	C_2_16	1	271	8	279	0.971326165
DLW_C_2_17	DLW	DLW_55	C	2	17	37.06770746	-118.2638616	1249	Low	E	C_2_17	1	452	263	715	0.632167832
SAW_C_2_18	SAW	SAW_26	C	2	18	37.2033	-119.4137	1207.62	Low	W	C_2_18	1	131	61	192	0.682291667
LPM_C_3_19	LPM	LPM_1	C	3	19	37.63207	-118.99653	2594	High	NA	C_3_19	1	101	6	107	0.943925234
HME_C_3_20	HME	HME_1_G1	C	3	20	36.460418	-118.161644	3048	High	NA	C_3_20	1	77	15	92	0.836956522
NLC_C_3_21	NLC	NLC_1	C	3	21	37.22731	-118.6276	3282	High	NA	C_3_21	1	1808	163	1971	0.917300863
LPM_C_3_22	LPM	LPM_1	C	3	22	37.63207	-118.99653	2594	High	NA	C_3_22	1	202	20	222	0.90990991
NLC_C_3_23	NLC	NLC_1	C	3	23	37.22731	-118.6276	3282	High	NA	C_3_23	1	226	62	288	0.784722222
NLC_C_3_24	NLC	NLC_1	C	3	24	37.22731	-118.6276	3282	High	NA	C_3_24	1	204	112	316	0.64556962
ART_C_3_25	ART	ART_1	C	3	25	37.35488	-118.3326	1594	Low	E	C_3_25	1	267	66	333	0.801801802
DLW_C_3_26	DLW	DLW_55	C	3	26	37.06770746	-118.2638616	1249	Low	E	C_3_26	1	691	24	715	0.966433566
SAW_C_3_27	SAW	SAW_26	C	3	27	37.2033	-119.4137	1207.62	Low	W	C_3_27	1	160	180	340	0.470588235
SAW_C_4_28	SAW	SAW_26	C	4	28	37.2033	-119.4137	1207.62	Low	W	C_4_28	1	123	31	154	0.798701299
LPM_C_4_29	LPM	LPM_1	C	4	29	37.63207	-118.99653	2594	High	NA	C_4_29	1	550	8	558	0.985663082
DWF_C_4_30	DWF	DWF_6	C	4	30	36.320614	-117.521642	24	Low	E	C_4_30	1	942	58	1000	0.942
ART_C_4_31	ART	ART_1	C	4	31	37.35488	-118.3326	1594	Low	E	C_4_31	1	622	69	691	0.900144718
SAW_C_4_32	SAW	SAW_26	C	4	32	37.2033	-119.4137	1207.62	Low	W	C_4_32	1	251	110	361	0.695290859
DLW_C_4_33	DLW	DLW_55	C	4	33	37.06770746	-118.2638616	1249	Low	E	C_4_33	1	601	12	613	0.980424144
WFC_C_4_34	WFC	WFC_5	C	4	34	37.33766	-119.26629	1551.7368	Low	W	C_4_34	1	1162	27	1189	0.977291842
JMS_C_4_35	JMS	JMS_2	C	4	35	37.7653915	-119.0947999	2651	High	NA	C_4_35	1	171	9	180	0.95
SAW_C_4_36	SAW	SAW_26	C	4	36	37.2033	-119.4137	1207.62	Low	W	C_4_36	1	361	18	379	0.952506596
HME_C_5_37	HME	HME_1_G1	C	5	37	36.460418	-118.161644	3048	High	NA	C_5_37	1	187	18	205	0.912195122
DWF_C_5_38	DWF	DWF_6	C	5	38	36.320614	-117.521642	24	Low	E	C_5_38	1	616	29	645	0.95503876
HME_C_5_39	HME	HME_1_G1	C	5	39	36.460418	-118.161644	3048	High	NA	C_5_39	1	1155	100	1255	0.920318725
JMS_C_5_40	JMS	JMS_2	C	5	40	37.7653915	-119.0947999	2651	High	NA	C_5_40	1	266	4	270	0.985185185
WFC_C_5_41	WFC	WFC_5	C	5	41	37.33766	-119.26629	1551.7368	Low	W	C_5_41	1	730	6	736	0.991847826
NLC_C_5_42	NLC	NLC_1	C	5	42	37.22731	-118.6276	3282	High	NA	C_5_42	1	1048	135	1183	0.885883347
LPM_C_5_43	LPM	LPM_1	C	5	43	37.63207	-118.99653	2594	High	NA	C_5_43	1	177	80	257	0.688715953
HME_C_5_44	HME	HME_1_G1	C	5	44	36.460418	-118.161644	3048	High	NA	C_5_44	1	138	32	170	0.811764706
